RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,1,1,2,2
0.70816,0,2,1,1,1,1
0.5361,1,2,1,0,1,2
0.44808,1,2,0.5,0,1,2
-Inf,NaN,2,0.33333,0,2,1
-Inf,NaN,0,0.33333,1,1,1
0.49395,1,2,0.33333,0,2,1
0.48604,1,2,0.25,0,2,1
0.51593,1,2,0.2,1,1,1
0.43786,1,2,0.16667,1,2,2
-Inf,NaN,2,0.14286,1,2,2
-Inf,NaN,0,0.14286,0,1,2
0.44583,1,2,0.16667,0,2,1
0.50462,1,2,0.16667,1,1,1
0.48775,1,2,0.14286,1,1,1
0.64971,0,2,0.125,1,2,2
0.48576,1,2,0.14286,0,2,1
-Inf,NaN,2,0.14286,1,2,2
-Inf,NaN,0,0.16667,1,1,1
0.48174,1,2,0.2,1,1,1
-Inf,NaN,2,0.16667,1,2,2
0.37938,1,2,0.16667,0,1,2
0.46548,1,2,0.16667,1,1,1
0.47356,1,2,0.16667,0,2,1
-Inf,NaN,1,0.16667,0,1,2
-Inf,NaN,0,0.16667,1,2,2
0.46545,1,1,0.2,1,2,2
0.47727,1,1,0.16667,0,2,1
0.49126,1,1,0.14286,1,1,1
0.50447,1,1,0.14286,1,1,1
-Inf,NaN,1,0.125,1,2,2
0.52724,1,1,0.14286,0,2,1
-Inf,NaN,1,0.14286,1,1,1
0.41908,1,1,0.16667,0,2,1
0.45323,1,1,0.14286,0,2,1
0.49125,1,1,0.125,0,1,2
0.52708,1,1,0.125,1,1,1
0.35893,1,1,0.125,0,1,2
0.4791,1,1,0.125,0,1,2
0.47107,1,1,0.125,1,2,2
0.44691,1,1,0.11111,0,1,2
-Inf,NaN,0,0.11111,1,1,1
-Inf,NaN,0,0.11111,0,2,1
-Inf,NaN,1,0.125,1,2,2
0.46887,1,1,0.14286,0,1,2
0.40672,1,1,0.14286,1,2,2
-Inf,NaN,0,0.14286,0,1,2
0.45276,1,1,0.16667,1,2,2
-Inf,NaN,0,0.16667,1,2,2
0.46847,1,3,0.2,1,2,2
0.53471,1,3,0.2,1,1,1
