RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,1,0,1,2
0.66805,1,2,1,1,1,1
0.71969,1,2,0.5,0,2,1
0.39356,1,2,0.33333,1,2,2
-Inf,NaN,2,0.25,1,2,2
-Inf,NaN,0,0.25,0,1,2
0.59777,1,2,0.25,0,1,2
0.55784,1,2,0.2,1,2,2
0.41238,1,2,0.16667,1,2,2
0.59765,1,2,0.14286,0,1,2
-Inf,NaN,2,0.125,1,1,1
-Inf,NaN,0,0.14286,1,1,1
0.47738,1,2,0.16667,0,1,2
0.46353,1,2,0.16667,1,1,1
0.55921,1,2,0.14286,1,1,1
0.44927,1,2,0.125,0,1,2
0.50447,1,2,0.125,0,2,1
-Inf,NaN,2,0.125,1,2,2
-Inf,NaN,0,0.14286,1,1,1
0.40917,1,2,0.16667,1,2,2
-Inf,NaN,2,0.14286,0,2,1
0.45104,1,2,0.14286,1,2,2
0.4169,1,2,0.14286,1,2,2
0.45702,1,2,0.14286,0,2,1
-Inf,NaN,1,0.14286,1,1,1
-Inf,NaN,0,0.16667,0,1,2
0.36063,1,1,0.2,1,2,2
0.43652,1,1,0.16667,0,2,1
0.60257,1,1,0.14286,0,2,1
0.58658,1,1,0.14286,1,1,1
-Inf,NaN,1,0.125,1,2,2
0.38241,1,1,0.14286,1,2,2
-Inf,NaN,1,0.14286,1,1,1
0.4823,1,1,0.16667,1,1,1
0.41223,1,1,0.14286,1,2,2
0.57815,1,1,0.125,0,1,2
0.52612,1,1,0.125,0,2,1
0.44406,1,1,0.125,1,1,1
0.38208,1,1,0.125,0,1,2
0.54988,1,1,0.125,0,1,2
0.43005,1,1,0.11111,1,2,2
-Inf,NaN,0,0.11111,1,2,2
-Inf,NaN,0,0.11111,1,2,2
-Inf,NaN,1,0.125,1,1,1
0.46001,1,1,0.14286,0,2,1
-Inf,-1,1,0.14286,1,1,1
-Inf,NaN,0,0.16667,1,2,2
0.39569,1,1,0.2,1,1,1
-Inf,NaN,0,0.2,1,1,1
-Inf,-1,3,0.25,1,2,2
0.51731,1,3,0.33333,0,2,1
0.46937,1,3,0.25,1,2,2
0.47309,1,3,0.2,0,1,2
-Inf,NaN,0,0.16667,1,2,2
0.48316,1,3,0.2,0,2,1
-Inf,NaN,3,0.16667,0,2,1
0.51929,1,3,0.16667,1,1,1
0.42726,1,3,0.16667,0,1,2
-Inf,NaN,3,0.14286,0,1,2
0.43305,1,3,0.14286,0,1,2
-Inf,NaN,3,0.14286,1,2,2
-Inf,NaN,0,0.16667,0,2,1
-Inf,NaN,0,0.2,1,1,1
-Inf,NaN,3,0.2,1,2,2
0.35298,1,3,0.25,1,2,2
0.48689,0,3,0.2,0,1,2
0.43265,1,3,0.25,0,1,2
-Inf,-1,3,0.25,1,2,2
0.61877,1,3,0.25,1,1,1
0.48483,1,3,0.25,1,1,1
0.50529,1,3,0.2,1,1,1
0.39426,0,3,0.16667,1,2,2
0.58585,1,1,1,0,2,1
0.46384,1,1,0.5,0,2,1
0.41174,1,1,0.33333,1,2,2
0.37773,1,1,0.25,1,2,2
-Inf,NaN,0,0.2,1,1,1
0.42285,1,1,0.2,1,1,1
0.47567,1,1,0.16667,1,1,1
0.3853,1,1,0.14286,0,1,2
-Inf,NaN,0,0.125,1,1,1
0.38551,1,1,0.125,1,2,2
-Inf,NaN,1,0.125,0,1,2
0.52551,1,1,0.14286,1,1,1
0.47933,1,1,0.14286,1,1,1
-Inf,NaN,0,0.14286,0,2,1
0.47343,1,1,0.14286,0,2,1
0.52534,1,1,0.14286,0,2,1
-Inf,NaN,1,0.14286,0,1,2
0.5113,1,1,0.16667,1,2,2
0.427,1,1,0.14286,0,1,2
-Inf,NaN,0,0.14286,1,1,1
-Inf,NaN,1,0.14286,1,2,2
0.55437,1,1,0.16667,0,2,1
0.40296,1,1,0.16667,1,2,2
-Inf,NaN,1,0.14286,1,1,1
0.53261,1,2,0.16667,0,2,1
-Inf,NaN,0,0.16667,1,1,1
-Inf,NaN,2,0.16667,0,2,1
-Inf,NaN,2,0.2,1,2,2
0.41467,1,2,0.25,1,1,1
0.4865,1,2,0.2,0,1,2
0.60052,1,2,0.16667,1,1,1
-Inf,NaN,2,0.16667,0,1,2
0.54447,1,2,0.2,0,1,2
-Inf,-1,2,0.16667,0,2,1
0.53218,1,2,0.2,0,1,2
0.48433,1,2,0.16667,0,2,1
0.48763,1,2,0.14286,0,2,1
0.42417,1,2,0.125,1,1,1
0.47215,1,2,0.125,0,2,1
-Inf,NaN,0,0.125,1,1,1
0.37202,1,2,0.14286,1,2,2
-Inf,NaN,2,0.125,0,1,2
-Inf,NaN,0,0.14286,1,2,2
-Inf,NaN,0,0.14286,1,2,2
0.62602,1,2,0.16667,1,1,1
0.74035,1,2,0.16667,0,2,1
0.38984,1,2,0.16667,1,1,1
0.62375,0,2,0.16667,1,2,2
-Inf,NaN,0,0.2,0,1,2
0.5194,1,3,0.2,1,1,1
0.43089,1,3,0.2,1,2,2
-Inf,-1,3,0.16667,0,2,1
0.42537,1,3,0.16667,0,1,2
-Inf,NaN,3,0.14286,1,2,2
0.38129,1,3,0.16667,0,2,1
-Inf,NaN,3,0.16667,1,2,2
-Inf,NaN,0,0.2,1,1,1
0.43712,1,3,0.2,1,1,1
0.41706,1,3,0.16667,0,1,2
0.59494,1,3,0.16667,0,2,1
0.36896,1,3,0.16667,0,1,2
-Inf,NaN,3,0.14286,0,2,1
-Inf,NaN,0,0.16667,0,2,1
0.51093,1,3,0.16667,0,1,2
0.37688,1,3,0.16667,1,2,2
0.4559,1,3,0.14286,1,1,1
-Inf,NaN,0,0.125,1,2,2
0.43715,1,3,0.14286,1,1,1
0.37038,1,3,0.14286,1,2,2
0.57082,1,3,0.14286,1,2,2
0.41262,1,3,0.14286,1,1,1
-Inf,NaN,3,0.125,1,1,1
